project,channel_name,follow_type,has_mention,channel_url,refresh_interval,at_time,last_read
Metaplaces,🔊┃announcements,announcement,,https://discord.com/channels/937062754181869678/937410937110024312,,,1027922676053979176_2022-10-07T12:37:43.851000+00:00
Metaplaces,🎉┃premium-collab,giveaway,,https://discord.com/channels/937062754181869678/951185886962393199,,,1033704923789013002_2022-10-23T11:34:19.140000+00:00
Metaplaces,🎁┃collab-giveaway,giveaway,,https://discord.com/channels/937062754181869678/947196618480975902,,,1033906251702206464_2022-10-24T00:54:19.756000+00:00
Emma’s Room,📣｜wl-announce,announcement,,https://discord.com/channels/945318826487197746/1007109726707912786,,,1027418267180089365_2022-10-06T03:13:23.404000+00:00
Emma’s Room,📢｜nanakawa-voice,announcement,,https://discord.com/channels/945318826487197746/949678238274293770,,,1033697975983149106_2022-10-23T11:06:42.654000+00:00
A Little Simmon,📢│announcement,announcement,,https://discord.com/channels/1001734032528248912/1001773246259150879,,,1030342761733435393_2022-10-14T04:54:17.240000+00:00
A Little Simmon,📌│minting-info,announcement,,https://discord.com/channels/1001734032528248912/1025761061175054466,,,1029387720096755722_2022-10-11T13:39:17.570000+00:00
A Little Simmon,🎉│giveaway,giveaway,,https://discord.com/channels/1001734032528248912/1001865940650180668,,,1027439564614287400_2022-10-06T04:38:01.108000+00:00
Neko no Mori,╭📢・announcements,announcement,,https://discord.com/channels/938904152497610802/938993880622305331,,,1032653450753880165_2022-10-20T13:56:08.433000+00:00
Neko no Mori,┊📣・mini-announcements,announcement,,https://discord.com/channels/938904152497610802/958159891263008848,,,1033908101088297040_2022-10-24T01:01:40.383000+00:00
Neko no Mori,┊🎉・giveaways,giveaway,,https://discord.com/channels/938904152497610802/948780846003941396,,,1033530174345584710_2022-10-22T23:59:55.626000+00:00
Neko no Mori,┊✨・neko-news,announcement,,https://discord.com/channels/938904152497610802/960712940288364564,,,1024400833124782121_2022-09-27T19:23:11.064000+00:00
THE MOTOR CITY,📢ㆍannouncement,announcement,,https://discord.com/channels/960395615655854090/960867143468077086,,,1032538218052194414_2022-10-20T06:18:14.816000+00:00
THE MOTOR CITY,🎁ㆍcollab-giveaways,giveaway,,https://discord.com/channels/960395615655854090/991638351004307496,,,1031899482981412929_2022-10-18T12:00:08.508000+00:00
THE MOTOR CITY,🎁ㆍtester-giveaway,giveaway,,https://discord.com/channels/960395615655854090/1019897108897222706,,,1032820696675536917_2022-10-21T01:00:42.968000+00:00
IoM,╭📣announcements,announcement,,https://discord.com/channels/947808973904547850/953993132930900039,,,1032569131012194305_2022-10-20T08:21:05.040000+00:00
HODL-X,📢ㅣhodl-新聞公告,announcement,,https://discord.com/channels/945610454007439420/1026889987301593178,,,1032971891759128607_2022-10-21T11:01:30.685000+00:00
